RefugeesDate,NoRefugees
#affected+date+refugees,#affected+refugees
2022-04-25,85000
2022-04-27,128300
2022-05-03,165700
2022-05-09,180700
2022-05-18,180894
2022-05-19,225894
2022-05-21,1005894
2022-05-22,1068175
2022-05-23,1143057
2022-05-24,1252598
2022-05-25,1509585
2022-05-26,1542006
2022-05-29,1565693
2022-05-30,1697393
2022-05-31,3032612
2022-06-01,4773142
2022-06-02,4774703
2022-06-03,4774703
2022-06-05,4792122
2022-06-06,4824522
2022-06-07,4913869
2022-06-08,4919773
2022-06-09,4942901
2022-06-10,4958105
2022-06-11,4972953
2022-06-12,4986518
2022-06-13,5076934
2022-06-14,5113791
2022-06-15,5129970
2022-06-16,5145849
2022-06-17,5146852
2022-06-19,5147396
2022-06-20,5166105
2022-06-21,5349476
2022-06-22,5349487
2022-06-23,5350285
2022-06-26,5350863
2022-06-27,5371814
2022-06-28,5493080
2022-06-29,5493884
2022-07-03,5498558
2022-07-04,5524054
2022-07-05,5651401
2022-07-06,5655548
2022-07-10,5656749
2022-07-11,5675126
2022-07-12,5827712
2022-07-13,5846934
2022-07-14,5863980
2022-07-15,5883282
2022-07-16,5902393
2022-07-17,5922269
2022-07-18,5956085
2022-07-19,5988696
2022-07-20,6011362
2022-07-21,6026076
2022-07-22,6043626
2022-07-23,6060514
2022-07-24,6076119
2022-07-25,6099745
2022-07-26,6160801
2022-07-27,6178196
2022-07-28,6194406
2022-07-29,6211291
2022-07-30,6227592
2022-07-31,6244872
2022-08-01,6272752
2022-08-02,6302641
2022-08-03,6305849
2022-08-07,6305867
2022-08-08,6311974
2022-08-09,6463084
2022-08-10,6490187
2022-08-13,6521187
2022-08-14,6521506
2022-08-15,6524303
2022-08-16,6708477
2022-08-17,6709366
2022-08-19,6710454
2022-08-20,6714178
2022-08-21,6715908
2022-08-22,6746923
2022-08-23,6880285
2022-08-24,6880285
2022-08-28,6879397
2022-08-29,6901155
2022-08-30,7012230
2022-08-31,7012250
2022-09-04,7008505
2022-09-05,7108206
2022-09-06,7144173
2022-09-07,7146596
2022-09-11,7148514
2022-09-12,7267698
2022-09-13,7288155
2022-09-14,7300371
2022-09-15,7312699
2022-09-16,7326447
2022-09-17,7339526
2022-09-18,7352374
2022-09-19,7381378
2022-09-20,7399966
2022-09-21,7399972
2022-09-22,7400481
2022-09-23,7401475
2022-09-24,7401475
2022-09-25,7403070
2022-09-26,7517893
2022-09-27,7533843
2022-09-28,7533851
2022-09-30,7538397
2022-10-02,7540367
2022-10-03,7638774
2022-10-04,7647426
2022-10-07,7647769
2022-10-08,7652542
2022-10-09,7653676
2022-10-10,7676357
2022-10-11,7678757
2022-10-12,7678820
2022-10-14,7680308
2022-10-16,7681929
2022-10-17,7696281
2022-10-18,7710024
2022-10-19,7710924
2022-10-23,7713382
2022-10-24,7736980
2022-10-25,7753069
2022-10-26,7753073
2022-10-27,7753465
2022-10-28,7754773
2022-10-30,7758102
2022-10-31,7777423
2022-11-01,7785514
2022-11-06,7786492
2022-11-07,7788194
2022-11-08,7824440
2022-11-11,7824459
2022-11-13,7825734
2022-11-14,7827555
2022-11-15,7843714
2022-11-20,7845684
2022-11-21,7847087
2022-11-22,7867219
2022-11-25,7873179
2022-11-27,7876645
2022-11-29,7899537
2022-11-30,7902489
2022-12-04,7906066
2022-12-05,7906463
2022-12-06,7838453
2022-12-10,7841172
2022-12-12,7844654
2022-12-13,7840693
2022-12-18,7842997
2022-12-19,7845182
2022-12-20,7864898
2022-12-21,7865266
2022-12-22,7877290
2022-12-23,7885815
2022-12-24,7885712
2022-12-25,7890370
2022-12-26,7894737
2022-12-27,7896090
2022-12-28,7896842
2022-12-29,7897159
2022-12-30,7891853
2022-12-31,7900845
2023-01-01,7904226
2023-01-02,7907674
2023-01-03,7910731
2023-01-04,7910800
2023-01-05,7912026
2023-01-06,7912565
2023-01-08,7916440
2023-01-09,7917709
2023-01-10,7969421
2023-01-12,7970153
2023-01-15,7970782
2023-01-16,7978095
2023-01-17,7979572
2023-01-18,7979577
2023-01-19,7989439
2023-01-20,7992284
2023-01-21,7992369
2023-01-22,7995035
2023-01-23,7998527
2023-01-24,7999037
2023-01-26,7999909
2023-01-27,8001178
2023-01-28,8003006
2023-01-29,8011633
2023-01-30,8013758
2023-01-31,8046900
2023-02-03,8047034
2023-02-04,8048500
2023-02-05,8049444
2023-02-06,8051654
2023-02-07,8054811
2023-02-10,8061881
2023-02-12,8066325
2023-02-13,8078822
2023-02-14,8080420
2023-02-15,8082341
2023-02-16,8082790
2023-02-19,8085511
2023-02-20,8086751
2023-02-21,8087301
2023-02-23,8089686
2023-02-24,8092251
2023-02-25,8094356
2023-02-26,8100699
2023-02-27,8104792
2023-02-28,8106022
2023-03-03,8106767
2023-03-05,8104228
2023-03-06,8109006
2023-03-07,8107222
2023-03-09,8110883
2023-03-10,8110185
2023-03-12,8112287
2023-03-13,8138380
2023-03-14,8141008
2023-03-16,8141636
2023-03-17,8144191
2023-03-18,8144097
2023-03-19,8149447
2023-03-20,8160119
2023-03-21,8160403
2023-03-23,8160475
2023-03-24,8161687
2023-03-25,8162992
2023-03-26,8166813
2023-03-27,8173005
2023-03-28,8180416
2023-03-29,8180954
2023-03-30,8181195
2023-03-31,8163635
2023-04-02,8164918
2023-04-03,8166225
2023-04-04,8167001
2023-04-05,8167203
2023-04-06,8166653
2023-04-07,8166941
2023-04-08,8164058
2023-04-09,8166296
2023-04-10,8170564
2023-04-11,8174054
2023-04-14,8174073
2023-04-16,8176213
2023-04-17,8176769
2023-04-18,8176190
2023-04-19,8178250
2023-04-20,8178269
2023-04-21,8181449
2023-04-23,8183195
2023-04-24,8184214
2023-04-25,8184697
2023-04-26,8184905
2023-04-28,8184740
2023-04-29,8181879
2023-04-30,8193092
2023-05-01,8204022
2023-05-02,8206132
2023-05-05,8206078
2023-05-06,8204136
2023-05-07,8205144
2023-05-08,8206563
2023-05-09,8207977